id,nombre,precio,stock_actual,punto_reorden,pronostico_venta
100,Laptop Gamer Muestra (Bajo Stock),1500,2,10,25
101,Cable HDMI Básico (Stock Alto),15,200,20,50
102,Audífonos Noise Cancelling Lenovo Gamer,306.71,79,26,88
103,Mouse Inalámbrico Xiaomi Slim,90.75,83,23,86
104,Lavadora Apple Business,585.53,17,26,23
105,Parlante Bluetooth Canon RGB,52.34,2,16,23
106,Lavadora Dell Max,760.47,3,6,29
107,Disco Duro Externo Canon Pro,94.79,97,23,84
108,Impresora Multifunción Canon Plus,316.36,20,7,38
109,Parlante Bluetooth Dell Lite,184.12,91,6,79
110,Parlante Bluetooth Xiaomi Gamer,102.64,19,26,31
111,Parlante Bluetooth Samsung Pro,169.47,43,29,23
112,Cargador Rápido Microsoft RGB,25.41,25,16,19
113,Cámara Reflex Xiaomi Lite,1354.24,7,17,0
114,Laptop Asus Home Edition,1829.67,73,15,55
115,Monitor Lenovo Ultra,362.24,16,16,40
116,Consola de Videojuegos LG Gamer,303.02,37,11,60
117,Impresora Multifunción Epson Business,174.49,7,20,14
118,Laptop Sony Slim,1844.53,15,8,11
119,Consola de Videojuegos Canon Max,349.99,29,13,53
120,Parlante Bluetooth Lenovo Series X,150.52,36,5,18
121,Mouse Inalámbrico Lenovo Plus,56.0,50,20,55
122,Smartphone Apple Lite,1006.1,82,9,106
123,Router Wi-Fi 6 Xiaomi Lite,202.33,12,22,0
124,Lavadora Logitech Lite,621.34,40,21,51
125,Lavadora Xiaomi 4K,994.47,34,10,14
126,Cargador Rápido Apple Plus,46.1,17,11,46
127,Router Wi-Fi 6 Xiaomi Home Edition,151.27,88,14,101
128,Consola de Videojuegos Asus Pro,342.42,70,10,81
129,Parlante Bluetooth Samsung 4K,179.38,92,13,78
130,Router Wi-Fi 6 Asus Slim,100.44,60,9,70
131,Parlante Bluetooth Sony Max,91.84,88,5,79
132,Smart TV Apple Series X,674.63,5,16,0
133,Impresora Multifunción Canon Pro,327.0,48,9,47
134,Refrigeradora LG Lite,1038.47,75,25,80
135,Teclado Mecánico Microsoft Series X,93.34,8,21,0
136,Smart TV Lenovo Business,1561.68,26,15,52
137,Cargador Rápido Samsung RGB,43.27,4,11,2
138,Consola de Videojuegos Canon Slim,321.22,14,28,32
139,Cable HDMI Nintendo Pro,26.98,48,26,34
140,Audífonos Noise Cancelling Canon 4K,194.98,54,21,60
141,Cámara Reflex Xiaomi Business,1297.12,2,6,28
